LP - General,LP - Jazz,LP - Soundtrack,Collection,"EP - 7""","EP - 10""","EP - 12""","Single - 7""","Single - 10""","Single - 12""",VA Compilations
10cc – s/t,aaaaaa - aaaaaab,,asddd - asssssss,,,dsffff - ffff,,,,
3D Monster – Grind Time,asddd - asssssss,,bobbo - yuyu,,,,,,,
Acid Mothers Temple & The Cosmic Inferno - Anthem of the Space,bbbbb - ccccc,,yuyu - yuyu,,,,,,,
Acid Mothers Temple & The Melting Paraiso UFO – s/t,,,yuyu - yuyu,,,,,,,
Acid Tiger – s/t,,,,,,,,,,
Adolescents – s/t,,,,,,,,,,
Aky – Akram Banaee,,,,,,,,,,
Alexandra Savior – Belladonna of Sadness,,,,,,,,,,
Big Black – Songs About Fucking,,,,,,,,,,
Black Flag – Damaged,,,,,,,,,,
Blue Öyster Cult – Fire of Unknown Origin,,,,,,,,,,
Boney M – Take The Heat Off Me,,,,,,,,,,
Brian Eno – Before And After Science,,,,,,,,,,
Buddy Holly – Buddy Holly Lives,,,,,,,,,,
Butthole Surfers – Hairway to Steven,,,,,,,,,,
Butthole Surfers – Locust Abortion Technician,,,,,,,,,,
Butthole Surfers – Psychic… Powerless… Another Man’s Sac,,,,,,,,,,
Calexico – The Black Light,,,,,,,,,,
Can – Soundtracks,,,,,,,,,,
Candlemass – The Door to Doom,,,,,,,,,,
Cat Stevens – Teaser And The Firecat,,,,,,,,,,
Chelsea Wolfe – Apokalypsis,,,,,,,,,,
Chelsea Wolfe – Hiss Spun,,,,,,,,,,
Chelsea Wolfe – Pain Is Beauty,,,,,,,,,,
"Chess (Benny Andersson, Tim Rice, Björn Ulvaeus)",,,,,,,,,,
Country Joe & The Fish – Electric Music For The Mind And Body,,,,,,,,,,
Country Joe & The Fish – I Feel Like I’m Fixin’ To Die!,,,,,,,,,,
Cows – Daddy Has a Tail,,,,,,,,,,
Dadawah – Peace And Love,,,,,,,,,,
Danger Doom - The Mouse And The Mask,,,,,,,,,,
Danzig – s/t,,,,,,,,,,
Dave Mason – Alone Together,,,,,,,,,,
David Allan Coe – Compass Point,,,,,,,,,,
David Allan Coe – Just Divorced,,,,,,,,,,
Dead Can Dance – Spleen And Ideal,,,,,,,,,,
Dead Kennedys – Fresh Fruit For Rotting Vegetables,,,,,,,,,,
Dead Meadow – s/t,,,,,,,,,,
Death Alley – Black Magick Boogieland,,,,,,,,,,
Death Grips – The Money Store,,,,,,,,,,
Deltron 3030 - Deltron 3030,,,,,,,,,,
Devo! - Q: Are We Not Men? A: We Are Devo!,,,,,,,,,,
Dick Dale – Surfers’ Choice,,,,,,,,,,
Dilated Peoples – Poisonous,,,,,,,,,,
Dire Straits – Communique,,,,,,,,,,
Dire Straits – s/t,,,,,,,,,,
Discharge – Hear Nothing See Nothing Say Nothing,,,,,,,,,,
DNA – DNA On DNA,,,,,,,,,,
Donovan – Sunshine Superman,,,,,,,,,,
Dr. John – Gris-Gris,,,,,,,,,,
"Dwight David Eisenhower October 14,1890-March 28, 1969",,,,,,,,,,
Earth – Earth 2,,,,,,,,,,
Edith Piaf – Piaf Chansons,,,,,,,,,,
Elder – Lore,,,,,,,,,,
Elder – s/t,,,,,,,,,,
Electric Wizard – Dopethrone,,,,,,,,,,
Electric Wizard – Time to Die,,,,,,,,,,
"Emerson, Lake & Palmer – Tarkus",,,,,,,,,,
Empty Grave – Abandoned,,,,,,,,,,
Exuma – Life,,,,,,,,,,
Faust – Faust IV,,,,,,,,,,
Faust – s/t,,,,,,,,,,
Fleetwood Mac – Live,,,,,,,,,,
Fleetwood Mac – Rumors,,,,,,,,,,
Floodgate ‎– Troubles A' Brewin,,,,,,,,,,
Francoise Hardy – s/t,,,,,,,,,,
Frank Sinatra – In The Wee Small Hours,,,,,,,,,,
Frank Sinatra – No One Cares,,,,,,,,,,
Frank Zappa – Apostrophe,,,,,,,,,,
Gary Numan – The Pleasure Principle,,,,,,,,,,
Genesis – s/t,,,,,,,,,,
Googoosh – s/t,,,,,,,,,,
Grace Jones - Nightclubbing,,,,,,,,,,
Grouper – Dragging a Dead Deer Up a Hill,,,,,,,,,,
Harry Belafonte – Calypso,,,,,,,,,,
Have A Nice Life – Deathconsciousness x 2,,,,,,,,,,
"Hindenburg, The Last Flight of the",,,,,,,,,,
Homegas – s/t,,,,,,,,,,
Horsehair Everywhere – The Beginning of a Protracted Struggle,,,,,,,,,,
Igor Stravinsky – The Rite of Spring,,,,,,,,,,
It’s A Beautiful Day – s/t,,,,,,,,,,
Jacques Brel – s/t,,,,,,,,,,
Jah Thomas Presents King Tubby & Scientist ‎– In A Midnight Rock Dub Vol. 1,,,,,,,,,,
Janis Joplin – I Got Dem Ol’ Kozmic Blue Again Mama!,,,,,,,,,,
Janis Joplin – Pearl,,,,,,,,,,
Jefferson Starship – Red Octopus,,,,,,,,,,
Jesse Winchester – Let The Rough Side Drag,,,,,,,,,,
Jethro Tull – Living In The Past,,,,,,,,,,
Jethro Tull – Thick As A Brick,,,,,,,,,,
Jim Croce – Life And Times,,,,,,,,,,
Jimmy Rabbitt And Renegade – s/t,,,,,,,,,,
Joan Baez – Blowin’ Away,,,,,,,,,,
